filename,snr,siib_score_gaussian
ALL_049_F_ENG_ENG_HT1_S043,6,62.60718740772783
ALL_049_F_ENG_ENG_HT1_S043,8,72.77608288376042
ALL_049_F_ENG_ENG_HT1_S043,n2,32.83959623489264
ALL_049_F_ENG_ENG_HT1_S043,n4,27.274210235287658
ALL_049_F_ENG_ENG_HT1_S044,0,36.970798103713136
ALL_049_F_ENG_ENG_HT1_S044,2,44.66789969345086
ALL_049_F_ENG_ENG_HT1_S044,4,53.08154885455053
ALL_049_F_ENG_ENG_HT1_S044,6,62.394331693835596
ALL_049_F_ENG_ENG_HT1_S044,8,72.8420754190833
ALL_049_F_ENG_ENG_HT1_S044,n2,29.841245269877124
ALL_049_F_ENG_ENG_HT1_S044,n4,23.459521791061864
ALL_049_F_ENG_ENG_HT1_S045,0,49.040471953963795
ALL_049_F_ENG_ENG_HT1_S045,2,58.76603435465816
ALL_049_F_ENG_ENG_HT1_S045,4,69.91951793173199
ALL_049_F_ENG_ENG_HT1_S045,8,96.30479660247944
ALL_049_F_ENG_ENG_HT1_S045,6,82.44139609358443
ALL_049_F_ENG_ENG_HT1_S045,n2,40.705857521235544
ALL_049_F_ENG_ENG_HT1_S045,n4,33.5806377052684
ALL_049_F_ENG_ENG_HT1_S046,0,62.08222040577465
ALL_049_F_ENG_ENG_HT1_S046,2,72.52753691996185
ALL_049_F_ENG_ENG_HT1_S046,6,97.74856515882284
ALL_049_F_ENG_ENG_HT1_S046,4,84.4592109462634
ALL_049_F_ENG_ENG_HT1_S046,8,112.1781806817598
ALL_049_F_ENG_ENG_HT1_S046,n2,52.87737852813875
ALL_049_F_ENG_ENG_HT1_S046,n4,44.53331190452414
ALL_049_F_ENG_ENG_HT1_S047,4,72.20482677458645
ALL_049_F_ENG_ENG_HT1_S047,6,83.44496625171071
ALL_049_F_ENG_ENG_HT1_S047,2,62.20303413754458
ALL_049_F_ENG_ENG_HT1_S047,0,53.219088310180815
ALL_049_F_ENG_ENG_HT1_S047,8,95.98526492712921
ALL_049_F_ENG_ENG_HT1_S047,n2,44.986387733074054
ALL_049_F_ENG_ENG_HT1_S047,n4,37.35038478880355
ALL_049_F_ENG_ENG_HT1_S048,0,42.07856592302568
ALL_049_F_ENG_ENG_HT1_S048,4,59.691359465838545
ALL_049_F_ENG_ENG_HT1_S048,2,50.28940422831869
ALL_049_F_ENG_ENG_HT1_S048,6,70.47774805703384
ALL_049_F_ENG_ENG_HT1_S048,8,83.1210921400148
ALL_049_F_ENG_ENG_HT1_S048,n2,34.85242057712369
ALL_049_F_ENG_ENG_HT1_S048,n4,28.624654160701972
ALL_049_F_ENG_ENG_HT1_S049,0,44.711435951620274
ALL_049_F_ENG_ENG_HT1_S049,2,53.668697687675675
ALL_049_F_ENG_ENG_HT1_S049,4,63.864403639395405
ALL_049_F_ENG_ENG_HT1_S049,6,75.36706639824646
ALL_049_F_ENG_ENG_HT1_S049,8,88.34345796750628
ALL_049_F_ENG_ENG_HT1_S050,0,44.639008634369446
ALL_049_F_ENG_ENG_HT1_S050,2,54.19657466485774
ALL_049_F_ENG_ENG_HT1_S049,n4,30.23483260005388
ALL_049_F_ENG_ENG_HT1_S050,8,91.26003298807888
ALL_049_F_ENG_ENG_HT1_S049,n2,36.92057904155886
ALL_049_F_ENG_ENG_HT1_S050,6,77.49214159421454
ALL_049_F_ENG_ENG_HT1_S050,4,65.15313907572614
ALL_049_F_ENG_ENG_HT1_S050,n4,29.923801950088947
ALL_049_F_ENG_ENG_HT1_S051,0,55.98659928208773
ALL_049_F_ENG_ENG_HT1_S050,n2,36.50451536709523
ALL_049_F_ENG_ENG_HT1_S051,4,79.91504740145774
ALL_049_F_ENG_ENG_HT1_S051,2,67.35600828586422
ALL_049_F_ENG_ENG_HT1_S051,6,93.93009736533976
ALL_049_F_ENG_ENG_HT1_S051,8,109.49254021956752
ALL_049_F_ENG_ENG_HT1_S051,n2,45.575204410794164
ALL_049_F_ENG_ENG_HT1_S051,n4,35.992960011203394
ALL_049_F_ENG_ENG_HT1_S052,0,42.87846292672839
ALL_049_F_ENG_ENG_HT1_S052,2,50.625723404638705
ALL_049_F_ENG_ENG_HT1_S052,n4,29.92175111808419
ALL_049_F_ENG_ENG_HT1_S052,4,59.65083350049603
ALL_049_F_ENG_ENG_HT1_S052,8,83.13814436198247
ALL_049_F_ENG_ENG_HT1_S052,n2,36.07759759656452
ALL_049_F_ENG_ENG_HT1_S052,6,70.3177198473104
ALL_049_F_ENG_ENG_HT1_S053,0,43.7593037432954
ALL_049_F_ENG_ENG_HT1_S053,2,52.43936575355902
ALL_049_F_ENG_ENG_HT1_S053,6,76.52622735213332
ALL_049_F_ENG_ENG_HT1_S053,4,63.178267917446654
ALL_049_F_ENG_ENG_HT1_S053,8,92.57126168334437
ALL_049_F_ENG_ENG_HT1_S053,n2,36.52036398954873
ALL_049_F_ENG_ENG_HT1_S053,n4,30.169383421689805
ALL_049_F_ENG_ENG_HT1_S054,0,27.59102318137171
ALL_049_F_ENG_ENG_HT1_S054,2,33.37128741441018
ALL_049_F_ENG_ENG_HT1_S054,6,48.53973742065584
ALL_049_F_ENG_ENG_HT1_S054,4,40.29803088855583
ALL_049_F_ENG_ENG_HT1_S054,n2,22.79407600851832
ALL_049_F_ENG_ENG_HT1_S054,n4,18.79705381614886
